scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-11-18,AXSM,C,FlatBase,147.48,149.46,1.32,17.37,12,,30.58,59,13.69,21.73,40.24,1.32,-0.48,1.95,0.22,0.35,2.73,True
2025-11-18,BBIO,C,Pennant,65.59,69.48,5.6,13.33,15,,48.67,59,23.2,34.21,91.5,5.6,-0.08,7.68,13.05,12.85,15.4,True
2025-11-18,BIIB,C,FlatBase,168.83,170.78,1.14,19.19,29,,,,14.29,23.49,30.08,1.14,-0.53,7.78,7.06,1.94,7.85,True
2025-11-18,COKE,C,Pennant,161.0514,162.188,0.7,10.56,6,,36.34,38,25.25,40.72,41.48,0.7,1.32,0.5,1.76,1.29,4.05,True
2025-11-18,COLL,C,HTF,45.34,48.18,5.89,9.53,6,,39.95,21,26.97,17.52,55.59,5.89,-1.92,0.57,5.54,7.85,8.09,False
2025-11-18,CSTL,A,HTF,33.55,35.49,5.47,7.13,6,,76.79,58,41.32,57.14,110.08,5.47,3.28,19.02,17.47,18.21,19.08,True
2025-11-18,CYTK,C,Pennant,66.16,67.98,2.68,14.61,13,,91.36,58,20.82,73.24,113.28,2.68,-2.07,2.1,-2.27,-9.58,3.01,False
2025-11-18,DD,B,HTF,38.1983,40.6955,6.14,7.49,6,0.726,32.63,60,16.04,20.29,39.2,6.14,-2.12,0.21,3.0,5.44,7.76,False
2025-11-18,ESTA,B,Pennant,64.57,68.86,6.23,10.18,6,,85.8,41,29.53,54.62,87.59,6.42,3.52,6.86,4.94,15.7,15.7,True
2025-11-18,GGLL,C,Pennant,81.133,86.4992,6.2,14.91,6,,105.28,58,25.82,80.59,154.32,6.2,6.01,28.33,25.09,7.05,28.33,True
2025-11-18,GH,C,Pennant,95.57,101.57,5.91,13.14,14,,107.24,60,40.48,50.67,135.28,5.91,4.16,13.85,10.87,1.99,16.41,True
2025-11-18,GLUE,B,Pennant,13.78,14.619,5.74,12.85,6,0.663,225.45,59,47.38,195.07,229.67,5.74,2.61,16.26,22.35,21.55,35.41,True
2025-11-18,GSAT,C,Pennant,60.44,65.52,7.75,13.75,6,,140.45,58,43.7,116.01,227.41,7.75,-1.6,0.74,7.81,-5.84,21.91,False
2025-11-18,GTX,B,HTF,16.4845,17.5927,6.3,8.55,8,0.81,40.51,19,32.93,26.0,58.51,7.12,-2.16,-0.6,1.03,1.39,3.27,False
2025-11-18,HTHT,C,HTF,44.0655,44.7282,1.48,9.08,6,,39.76,60,17.36,26.64,30.98,1.48,-2.52,2.19,4.56,5.22,7.61,True
2025-11-18,IDYA,C,FlatBase,33.71,34.61,2.6,16.67,16,0.797,48.1,57,17.7,35.6,69.48,2.6,-1.72,5.28,1.87,0.06,6.82,True
