scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-05-16,ATRO,C,Pennant,30.17,30.31,0.46,12.97,6,,49.16,60,48.84,49.36,76.02,0.46,-0.43,0.07,5.57,14.12,18.69,True
2025-05-16,BTSG,C,Pennant,24.43,24.8,1.49,12.8,8,,47.5,12,56.4,25.35,30.29,1.57,-1.31,-4.91,-2.05,-12.73,-1.31,False
2025-05-16,DUOL,A,HTF,529.05,544.93,2.91,8.2,6,0.804,88.17,40,67.38,37.29,54.87,2.91,-1.67,-1.67,-0.42,-10.24,-0.42,False
2025-05-16,EYE,C,Pennant,19.22,19.41,0.98,14.43,6,,57.81,22,74.73,64.27,66.41,0.98,-0.0,-1.93,10.25,16.29,16.29,False
2025-05-16,GRPN,C,Pennant,26.0,26.9,3.35,12.23,6,,155.78,42,38.45,110.02,182.61,3.35,1.85,2.88,24.54,36.15,36.15,False
2025-05-16,GTX,B,HTF,11.773,11.8564,0.7,5.59,6,,57.77,24,35.21,21.46,47.28,0.7,-0.42,-8.67,-14.6,-13.09,-0.42,False
2025-05-16,HERE,A,FlatBase,7.34,7.71,4.8,18.81,9,0.358,196.97,45,89.18,194.19,162.14,7.79,3.54,-14.31,-23.02,79.02,79.02,False
2025-05-16,IRTC,A,HTF,141.0,142.68,1.18,4.06,6,,42.19,22,42.96,18.05,90.8,1.18,0.55,1.2,-0.25,2.7,5.34,True
2025-05-16,KTOS,B,VCP,35.21,36.85,4.45,10.85,11,0.662,48.79,48,10.31,39.22,34.18,4.45,-0.23,2.27,8.04,17.04,18.6,False
2025-05-16,MOS,B,HTF,34.1584,34.2651,0.31,9.82,6,,43.54,22,29.45,37.94,37.49,0.31,0.4,-0.31,4.49,2.89,4.94,True
2025-05-16,OKTA,B,HTF,127.3,127.567,0.21,8.17,7,0.703,38.54,47,37.68,37.25,68.72,0.21,-0.68,-2.81,-17.73,-22.01,-0.68,False
2025-05-16,OLLI,C,FlatBase,118.86,119.76,0.75,15.71,40,,,,11.61,22.81,30.98,0.97,1.59,-6.71,-5.84,1.63,1.63,True
2025-05-16,PLMR,B,HTF,159.22,165.0,3.5,8.48,7,,46.81,59,10.45,33.72,46.52,3.5,1.22,2.1,10.33,1.93,10.33,False
2025-05-16,PRCH,C,Pennant,10.78,11.35,5.02,14.36,7,,187.07,51,131.33,148.96,202.81,5.02,-1.39,-6.03,-13.27,4.36,5.94,False
2025-05-16,RIVN,C,Pennant,15.81,15.83,0.13,13.77,6,,34.4,40,41.79,21.9,57.78,16.15,3.04,-1.14,-10.82,-12.97,7.02,True
2025-05-16,SLNO,A,Pennant,75.01,79.17,5.25,10.09,6,0.47,75.78,43,8.82,62.61,37.31,7.38,0.76,2.51,0.87,4.19,6.92,False
2025-05-16,STNE,B,VCP,11.0369,11.9622,7.74,11.6,15,,60.07,58,10.78,34.81,44.12,14.58,0.45,-0.6,5.84,12.95,12.95,False
2025-05-16,TIGO,B,HTF,32.5803,32.7881,0.63,7.03,6,0.669,38.32,48,12.41,37.7,46.79,0.63,2.19,2.3,3.55,6.16,6.16,True
2025-05-16,UBER,C,Pennant,91.79,92.9,1.19,13.76,11,,30.71,60,25.88,16.35,31.81,1.19,0.73,-4.4,-8.88,-7.27,0.73,False
2025-05-19,ATRO,B,HTF,30.04,30.37,1.09,8.63,6,0.805,57.7,59,49.98,50.2,74.45,1.09,3.36,5.59,6.89,14.85,19.21,True
2025-05-19,BCRX,C,Pennant,10.37,11.11,6.66,13.68,11,,72.07,16,32.61,25.09,36.45,6.66,-0.39,4.05,7.91,-3.86,7.91,False
2025-05-19,DAVE,B,Pennant,182.97,188.933,3.16,11.07,6,,142.82,25,119.47,81.03,112.11,3.16,7.14,14.23,14.95,11.64,30.21,True
2025-05-19,DUOL,A,HTF,520.23,544.93,4.53,7.69,6,0.841,90.04,41,54.67,33.43,47.81,4.53,1.06,0.92,-1.32,-8.44,1.27,False
2025-05-19,EYE,A,HTF,19.22,19.41,0.98,7.34,6,,72.43,23,67.42,64.84,64.84,0.98,0.83,-1.09,10.93,16.34,16.34,False
2025-05-19,GOGO,B,Pennant,12.26,12.9,4.96,11.63,6,,91.04,39,78.72,51.92,50.99,4.96,0.16,-9.38,-11.91,2.2,4.49,False
2025-05-19,GRPN,A,HTF,26.48,26.9,1.56,7.62,6,0.757,166.53,43,43.52,121.96,184.12,1.56,0.34,7.33,22.51,36.06,36.06,True
2025-05-19,GTX,A,HTF,11.724,11.8564,1.12,4.51,6,,63.49,25,32.63,24.09,44.73,1.12,-0.42,-5.61,-14.66,-14.07,-0.42,False
