scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-06-23,PLTR,A,HTF,139.92,144.86,3.41,6.14,5,0.769,,,13.47,55.31,76.93,3.41,2.37,-2.57,-0.15,6.54,10.06,False
2025-06-24,PLTR,A,HTF,143.23,144.86,1.13,6.14,6,0.753,,,16.08,66.84,85.58,1.13,-0.23,-8.76,-0.07,7.96,7.96,False
2025-06-24,VST,A,HTF,185.4579,188.6456,1.69,7.55,6,,80.69,49,13.76,56.58,33.29,6.56,0.08,-0.57,5.82,7.49,7.49,True
2025-06-25,MU,A,HTF,126.9461,127.7941,0.66,6.83,6,,85.94,50,32.3,46.45,51.4,11.27,-0.98,-4.33,-3.16,-12.11,-0.98,False
2025-06-26,MU,A,HTF,125.6991,129.5399,2.96,7.73,6,,88.23,51,30.17,42.04,44.47,12.14,-0.98,-2.94,-1.07,-11.62,-0.98,False
2025-06-27,MU,A,HTF,124.4621,129.5399,3.92,7.73,6,,90.98,52,32.08,40.81,39.0,13.0,-1.21,-3.79,-4.84,-10.74,-0.09,False
2025-07-11,CVNA,A,HTF,68.734,72.8,5.59,7.45,7,0.62,111.23,60,7.75,60.74,49.1,5.59,1.07,1.12,-3.36,1.13,13.53,False
2025-07-11,ORCL,A,HTF,228.7548,239.0417,4.3,4.95,6,,93.23,51,15.61,72.5,44.0,4.3,-0.56,6.46,6.32,8.45,11.22,True
2025-07-14,CVNA,A,HTF,69.468,72.8,4.58,7.45,8,0.609,111.23,60,16.94,65.95,49.51,4.58,0.31,-1.56,-3.17,-0.6,12.33,False
2025-07-14,ORCL,A,HTF,227.4849,239.0417,4.83,6.56,7,,93.23,51,6.76,77.07,33.62,4.83,2.48,6.22,8.04,10.21,11.84,True
2025-07-15,CVNA,A,HTF,69.682,72.8,4.28,7.45,9,0.605,111.23,60,20.12,64.8,48.86,4.28,1.04,-1.97,-3.42,-0.95,11.99,False
2025-07-16,CVNA,A,HTF,70.404,72.8,3.29,7.45,10,0.635,111.23,60,19.74,79.76,44.79,3.29,-1.68,-2.56,-5.24,-0.61,10.84,False
2025-07-16,ORCL,A,HTF,239.4108,239.4405,0.01,6.72,9,,93.23,51,16.16,96.88,30.14,0.01,3.09,0.25,3.85,1.19,6.27,True
2025-07-17,CVNA,A,HTF,69.22,72.8,4.92,7.45,11,0.654,111.23,60,12.4,63.29,43.93,4.92,0.41,-5.78,12.73,-1.01,12.73,False
2025-07-18,CVNA,A,HTF,69.504,72.8,4.53,7.49,12,0.663,111.23,60,8.64,57.29,43.51,4.53,-1.61,-4.43,5.83,0.71,12.27,False
2025-07-21,CVNA,A,HTF,68.384,72.8,6.07,7.49,13,0.658,111.23,60,6.82,45.49,39.64,6.07,-0.11,-1.63,5.48,5.14,14.11,False
2025-07-23,AMD,A,HTF,158.65,161.96,2.04,7.79,6,,87.1,59,10.63,64.59,33.48,8.85,2.19,13.15,2.82,4.13,16.24,True
