scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-06-03,CRWD,C,HTF,488.76,491.2,0.5,7.69,6,,29.22,57,10.28,58.25,38.22,0.5,-5.77,-4.32,0.67,1.5,4.2,False
2025-06-03,CVNA,B,Pennant,68.024,68.188,0.24,10.6,6,0.726,92.48,35,31.42,98.19,39.38,0.24,1.62,-0.48,-13.57,0.96,1.62,True
2025-06-03,NRG,A,HTF,159.2188,160.4942,0.79,6.13,11,,93.63,30,37.63,90.63,69.03,0.79,-2.53,-7.68,-5.56,-3.42,1.01,False
2025-06-04,AVGO,B,Pennant,258.9816,263.2966,1.64,11.68,6,,63.67,36,27.47,37.76,52.83,1.64,-0.44,-3.13,-3.76,5.65,5.83,False
2025-06-04,CRWD,C,HTF,460.56,491.2,6.24,9.35,7,,29.22,57,9.0,39.67,32.81,6.24,0.52,3.57,5.34,11.62,11.62,False
2025-06-04,CVNA,A,HTF,69.128,69.462,0.48,9.88,6,0.751,97.03,36,33.36,100.7,46.14,0.48,-0.68,-1.54,-10.92,0.78,0.78,False
2025-06-04,DG,C,FlatBase,109.5455,112.4466,2.58,16.2,11,,43.08,55,20.33,43.05,37.61,18.8,1.85,-0.29,0.48,2.09,3.3,False
2025-06-04,NRG,A,HTF,155.1949,160.4942,3.3,6.13,12,,93.63,30,32.27,77.84,68.87,3.3,-0.6,-5.03,-2.76,0.9,3.63,False
2025-06-05,AVGO,B,Pennant,257.8409,263.2966,2.07,11.5,6,,65.4,37,25.1,34.23,42.69,2.07,-5.0,-1.49,-3.6,5.73,6.3,False
2025-06-05,CVNA,B,Pennant,68.66,69.7348,1.54,10.23,7,0.777,97.03,36,20.23,91.48,36.8,1.54,-0.54,-7.09,-6.82,4.08,4.08,False
